Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC ,System,Short,Dynamic,System*Short
Tabbers,2004,01b,26,28,Self,Short,Static,-0.562210693,-0.343992343,0.077102499,0.075271479,-0.310093208,0.075066174,0,0.075966705,0.037535676,0,1,0,0
Tindall-Ford,1997,1,10,10,System,Long,Static,0.107602108,1.103967071,0.202787117,0.236655851,NA,NA,0,0.20296973,0.100742432,1,0,0,0
Tindall-Ford,1997,2,11,11,System,Long,Static,1.477321118,1.252961005,0.241852669,0.217556818,-1.062113492,0.209870636,0,0.223886767,0.101426192,1,0,0,0
Tindall-Ford,1997,3,12,12,System,Long,Static,0.050607936,0.585559624,0.168821764,0.176739084,-0.283386016,0.174099554,0,0.167284374,0.083487344,1,0,0,0
van den Broek,2014,1,41,43,Self,Short,Static,-0.117276485,0.284081515,0.047727926,0.048126429,NA,NA,0,0.04744769,0.023773422,0,1,0,0
Winslow,2012,1,24,21,Self,Long,Dynamic,0.17053897,0.873431195,0.089608865,0.097762182,NA,NA,0,0.090941045,0.045056761,0,0,1,0
Atkinson,2002,01a,10,10,Self,Short,Static,NA,0.46742912,NA,0.205923692,NA,NA,NA,NA,NA,0,1,0,0
Atkinson,2002,01b,10,10,Self,Short,Static,NA,0.586296598,NA,0.21062134,NA,NA,NA,NA,NA,0,1,0,0
Atkinson,2002,2,25,25,Self,Short,Static,NA,0.263238248,NA,0.080797355,NA,NA,NA,NA,NA,0,1,0,0
Moreno,2001,04a,15,17,Self,Short,Dynamic,0.595183888,0.593819623,0.131025256,0.130999911,NA,NA,0,0.131012373,0.064125593,0,1,1,0
Moreno,2001,04b,16,16,Self,Short,Dynamic,1.050145005,1.573516263,0.142231321,0.163686772,NA,NA,0,0.150819066,0.068954767,0,1,1,0
Moreno,2001,05b,21,20,Self,Short,Dynamic,0.592696019,1.697347163,0.101903055,0.13275304,NA,NA,0,0.109887426,0.051877106,0,1,1,0
