Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC 
Inan,2015,01,79.000,72.000,0,0,0,-0.668421267661661,NA,0.0282602773612624,NA,-0.202328079257498,0.0266826685636657,NA,NA,NA
Izmirli,2016,01a,24.000,25.000,0,0,1,-0.335633768553029,NA,0.0828161567339432,NA,-0.986083465118329,0.0915887136072765,NA,NA,NA
Izmirli,2016,01b,24.000,24.000,1,0,1,-0.0904614382725433,NA,0.083418575748066,NA,0.443523295390327,0.0853824261828531,NA,NA,NA
Kalyuga,1999,01,11.000,11.000,0,1,0,1.61721508012528,0.836314513396676,0.241258741258741,0.197714135575407,-0.81437855769486,0.196891191709845,0,0.212556646427108,0.0985936616067769
Kalyuga,2000,01,15.000,14.000,0,0,0,NA,0.590403309721419,NA,0.144691092993639,-1.04336345605362,0.157478212178858,NA,NA,NA
K?hl,2011,01a,20.000,20.000,1,1,1,0.0363989895276117,0.351600173968371,0.100589622556313,0.101545283529182,0.0905218317358893,0.10010242752526,0,0.100159973638127,0.0500399934095318
K?hl,2011,01b,20.000,20.000,1,1,0,0.408274455240436,0.600621622863043,0.102645205462388,0.104509329173133,0.0212992545260916,0.100005670728042,0,0.1030652308235,0.0507663077058751
Lindow,2011,02,21.000,21.000,1,1,1,-0.0997074519854388,-0.259883078915815,0.0953564473331122,0.0960421335084138,NA,NA,0,0.0955464795192003,0.0476961198798001
Mayer,2003,01,26.000,26.000,0,1,0,NA,0.788802050229942,NA,0.0829058526389131,NA,NA,NA,NA,NA
Mayer,1998,01,38.000,40.000,1,1,1,0.720616393903338,1.47396754712376,0.0548974442618942,0.0652425864606972,NA,NA,0,0.05812475114448,0.02736018778612
Mayer,1998,02,34.000,34.000,1,1,1,0.518918853950231,0.769355258934952,0.0608063139228156,0.0631757905474328,NA,NA,0,0.0617595363915229,0.0301458840978807
Mayrath,2011,01a,12.000,14.000,1,0,1,-0.176968823051741,-0.517251590094363,0.155364173306757,0.15990708182835,NA,NA,0,0.156522334713858,0.0778210836784646
Mayrath,2011,01b,15.000,14.000,1,0,1,-0.447925152983352,1.75260640575206,0.141554495727568,0.191054362465637,NA,NA,0,0.124559888061791,0.0656642220154479
Mayrath,2011,02,52.000,55.000,1,0,1,-0.146399950474997,0.172002321162414,0.0375127413635177,0.0375508341344811,NA,NA,0,0.0372953311621506,0.0186765827905377
McNeill,2009,01,19.000,19.000,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moreno,2002,01a,17.000,17.000,0,1,1,0.483334122177761,0.929061784897025,0.121082527553843,0.130340526472883,NA,NA,0,0.12425063620959,0.0604749090523975
Moreno,2002,01b,13.000,13.000,0,1,1,0.851221517362901,0.680541564000241,0.167780347531185,0.162752631160229,NA,NA,0,0.164986223514169,0.0797080558785424
Moreno,2002,01c,14.000,13.000,0,1,1,1.10339718762199,2.60336704897875,0.17089767341928,0.273861277827728,NA,NA,0,0.201547331114647,0.0874748327786616
Moreno,2002,02a,14.000,14.000,0,1,1,1.02050261926507,0.738126187739122,0.161454028498694,0.152586254804041,NA,NA,0,0.156308066213141,0.0747917665532853
Moreno,2002,02b,10.000,11.000,0,1,1,0.695158708463195,2.14978234899724,0.202414939241287,0.300946332529569,NA,NA,0,0.226490902885855,0.104350475721464
Park,2015,01a,20.000,20.000,1,0,0,NA,NA,NA,NA,-0.670273799810729,0.105615837083909,NA,NA,NA
Park,2015,01b,20.000,20.000,1,0,0,-0.214495497164741,NA,0.100575103978799,NA,-0.243018568239302,0.100738225306364,NA,NA,NA
Park,2015,01c,20.000,20.000,1,0,0,-0.324239189169374,NA,0.101314138147415,NA,-0.0208940679062228,0.100005457025921,NA,NA,NA
Rummer,2011,01,26.000,26.000,1,0,0,0.901235901021584,NA,0.124852719753955,NA,NA,NA,NA,NA,NA
Rummer,2011,02,24.000,24.000,1,0,0,1.44831524842947,NA,0.12573532350582,NA,NA,NA,NA,NA,NA
Sabet,2010,01,60.000,60.000,1,1,1,0.202509155997934,-1.21650478102902,0.0335042081594291,0.0394995161761102,NA,NA,0,0.0323065276813598,0.01641038192034
Schmidt-Weigand,2010,01a,15.000,15.000,1,1,1,0.368494995799677,-0.098058067569092,0.135970287657017,0.13349358974359,NA,NA,0,0.132730768213383,0.0665164420533459
Schmidt-Weigand,2010,01b,15.000,15.000,1,1,1,0.448071265464891,0.565685424949238,0.137436915436202,0.138666666666667,NA,NA,0,0.137557456403534,0.0677231141008835
Schmidt-Weigand,2010,01c,15.000,15.000,1,1,1,-0.176394309611356,0.599625351196689,0.133851915874388,0.139325842696629,0.00525588331227637,0.13333379373849,0,0.131570158335837,0.0662262895839591
Schmidt-Weigand,2010,02,15.000,16.000,0,1,1,0.353452416058955,0.153846153846154,0.131277925403205,0.129548418909461,NA,NA,0,0.130044053141586,0.0648022632853964
Schnotz,2014,01a,30.000,30.000,1,0,0,NA,0.447213595499958,NA,0.0683333333333333,NA,NA,NA,NA,NA
Schnotz,2014,01b,30.000,28.000,1,0,0,NA,0.416666666666667,NA,0.0705442665571975,NA,NA,NA,NA,NA
Schoor,2011,01,24.000,24.000,1,0,0,-0.237322237677042,-0.220371106823573,0.0860762914326335,0.0838392023408609,-0.271174176314991,0.0840993274364595,0,0.0838777808769868,0.0418031952192467
Sch?ler,2013,01,20.000,20.000,1,0,1,-0.081446008337985,0.0877953125101096,0.100082918153427,0.100096350211234,NA,NA,0,0.0999106177780658,0.0499776544445165
